Table,SubTable,Prefix,ProductId,ProductDescription,ProductStatus,Field,Type,Required,EnumName
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.2,Offshore Placements,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,GSIB,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.3,Required Operational Balances,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,GSIB,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.4,Excess Operational Balances,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,GSIB,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.5,Outstanding Draws on Unsecured Revolving Facilities,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,GSIB,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.6,Other Loans,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,GSIB,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.7,Cash Items in the Process of Collection,OK,BusinessLine,string,False,
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,ReportingEntity,string,True,
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,Currency,enum,True,Currency
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,Converted,enum,True,YesNo
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,Product,string,True,
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,Counterparty,enum,False,Counterparty
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,GSIB,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,MaturityAmount,money,False,
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,ForwardStartAmount,money,False,
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,Internal,enum,False,YesNo
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,InternalCounterparty,string,False,
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,RiskWeight,percent,False,
Inflows,Unsecured,I.U,I.U.8,Short-Term Investments,OK,BusinessLine,string,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,ReportingEntity,string,True,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,Currency,enum,True,Currency
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,Converted,enum,True,YesNo
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,Product,string,True,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,SubProduct,string,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,MaturityAmount,money,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,MaturityBucket,enum,False,MaturityBucket
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,MaturityOptionality,enum,False,MaturityOptionality
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,EffectiveMaturityBucket,enum,False,EffectiveMaturityBucket
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,EncumbranceType,enum,False,EncumbranceType
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,ForwardStartAmount,money,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,ForwardStartBucket,enum,False,MaturityBucket
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,CollateralClass,enum,False,CollateralClass
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,CollateralValue,money,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,Unencumbered,enum,False,YesNo
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,TreasuryControl,enum,False,YesNo
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,Internal,enum,False,YesNo
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,InternalCounterparty,string,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,RiskWeight,percent,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,BusinessLine,string,False,
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,Settlement,enum,False,YesNo
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,Counterparty,enum,False,Counterparty
Inflows,Secured,I.S,I.S.1,Reverse Repo,OK,GSIB,enum,False,YesNo
